D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column
1998,Vrouw,WO Master,Den Bosch,Stedelijk,Neutraal,Helemaal eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Helemaal eens,Helemaal eens,Eens,Eens,Eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Oneens,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Neutraal,5
1997,Man,WO Master,Den Bosch,Stedelijk,Oneens,Oneens,Oneens,Oneens,Oneens,Helemaal eens,Oneens,Oneens,Eens,Eens,Eens,Oneens,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal Eens,Helemaal Eens,Helemaal Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Eens,Helemaal Eens,5
2007,Man,HBO,Zwolle,Stedelijk,Eens,Helemaal eens,Eens,Eens,Helemaal eens,Oneens,Neutraal,Helemaal eens,Neutraal,Neutraal,Eens,Eens,Helemaal eens,Helemaal eens,Oneens,Oneens,Helemaal oneens,Helemaal oneens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Neutraal,Helemaal Eens,Helemaal Eens,Oneens,Helemaal oneens,Oneens,Oneens,Oneens,5
2001,Vrouw,WO Bachelor,,Stedelijk,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Helemaal oneens,Helemaal eens,Eens,Eens,Oneens,Eens,Helemaal eens,Oneens,Oneens,Neutraal,Eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Oneens,Helemaal Eens,Helemaal Eens,Eens,Eens,5
2002,Man,HBO,Groningen,Stedelijk,Oneens,Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Oneens,Eens,Neutraal,Eens,Oneens,Oneens,Oneens,Oneens,Eens,Oneens,Oneens,Eens,Neutraal,Neutraal,Oneens,Eens,Oneens,Oneens,Oneens,Oneens,5
2002,Man,WO Bachelor,Groningen,Stedelijk,Helemaal eens,Helemaal eens,Eens,Oneens,Eens,Eens,Oneens,Oneens,Helemaal eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,5
2002,Vrouw,HBO,Jubbega,Landelijk,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Oneens,Eens,Neutraal,Eens,Neutraal,Oneens,Oneens,Eens,Neutraal,Neutraal,Oneens,Eens,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,5
2002,Man,,Boijl,Landelijk,Neutraal,Helemaal eens,Oneens,Neutraal,Oneens,Eens,Neutraal,Neutraal,Eens,Oneens,Eens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Neutraal,Neutraal,Eens,Eens,Neutraal,Oneens,Eens,Neutraal,5
2003,Vrouw,WO Bachelor,,Landelijk,Oneens,Eens,Oneens,Neutraal,Oneens,Neutraal,Eens,Oneens,Eens,Neutraal,Neutraal,Oneens,Helemaal oneens,Oneens,Helemaal oneens,Helemaal oneens,Oneens,Oneens,Eens,Neutraal,Neutraal,Eens,Neutraal,Eens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Neutraal,5
1979,Man,HBO,Groningen,Landelijk,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Helemaal Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Eens,5
