D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column,meanA,meanB,meanBI,meanPE,meanSN,meanTotal,5,7,1,3,4,Extreme,Neutral
21,Man,HBO,Groningen,Stedelijk,2,4,2,2,2,3,3,3,3,4,2,4,3,4,2,2,2,2,4,2,2,4,3,3,2,4,2,2,2,2,5,2.857142857142857,2.4,2.4,3.0,2.7142857142857144,5.624489795918367,1,0,1,8,7,2.0,8.0
21,Man,WO Bachelor,Groningen,Stedelijk,5,5,4,2,4,4,2,2,5,4,4,3,4,4,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,5,4.142857142857143,4.0,4.0,3.5,3.5714285714285716,6.459183673469387,5,0,0,3,22,5.0,3.0
21,Vrouw,HBO,Jubbega,Landelijk,3,4,3,4,3,4,3,4,3,3,3,2,4,3,4,3,2,2,4,3,3,2,4,4,3,4,3,4,3,4,5,3.2857142857142856,3.6,3.4,3.3333333333333335,2.857142857142857,6.068027210884353,1,0,1,14,12,2.0,14.0
21,Man,,Boijl,Landelijk,3,5,2,3,2,4,3,3,4,2,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,4,3,2,4,3,5,3.5714285714285716,3.2,3.0,3.3333333333333335,3.5714285714285716,6.096598639455783,2,0,0,13,13,2.0,13.0
20,Vrouw,WO Bachelor,,Landelijk,2,4,2,3,2,3,4,2,4,3,3,2,1,2,1,1,2,2,4,3,3,4,3,4,4,2,4,5,3,3,5,3.5714285714285716,3.4,2.6,3.1666666666666665,1.5714285714285714,5.615646258503401,2,0,3,10,8,5.0,10.0
44,Man,HBO,Groningen,Landelijk,3,4,2,4,2,4,4,3,3,3,3,4,4,4,4,4,3,3,5,4,3,4,4,4,3,3,3,4,3,4,5,3.857142857142857,3.4,3.0,3.3333333333333335,3.7142857142857144,9.472108843537415,2,0,0,13,15,2.0,13.0
26,Vrouw,WO Master,Den Bosch,Landelijk,2,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,5,3.5714285714285716,3.0,2.8,3.5,3.0,6.6959183673469385,1,0,1,24,7,2.0,24.0
21,Man,HBO,Kollum,"Anders, namelijk",3,4,3,4,4,5,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,5,3.857142857142857,3.8,3.6,4.0,3.5714285714285716,6.404081632653061,2,0,0,8,22,2.0,8.0
24,Man,WO Master,Zwolle,Stedelijk,3,4,2,3,4,4,3,2,4,4,3,3,4,4,2,2,4,4,4,4,4,4,3,3,4,4,2,4,3,2,5,3.7142857142857144,3.0,3.2,3.3333333333333335,3.2857142857142856,6.504761904761906,1,0,1,9,16,2.0,9.0
20,Man,HBO,Arnhem,Stedelijk,3,5,2,3,5,3,2,1,5,2,4,2,4,4,4,3,4,2,5,3,2,5,4,4,3,5,4,4,3,4,5,3.7142857142857144,4.0,3.6,2.8333333333333335,3.2857142857142856,6.061904761904763,7,1,2,7,11,9.0,7.0
21,Vrouw,HBO,Appelscha,Landelijk,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,3.4,,,9.799999999999999,1,0,1,3,2,2.0,3.0
21,Vrouw,HBO,Assen,Stedelijk,4,5,2,2,2,4,4,2,3,4,4,4,4,3,2,2,2,2,4,5,2,2,2,4,4,2,3,4,4,4,5,3.2857142857142856,3.4,3.0,3.5,2.7142857142857144,5.985714285714286,3,0,0,5,13,3.0,5.0
25,Vrouw,WO Master,Den Bosch,Stedelijk,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,4,3,4,5,3.857142857142857,3.4,3.2,3.5,3.0,6.708163265306122,1,0,1,19,12,2.0,19.0
27,Vrouw,WO Master,,Landelijk,3,2,2,3,3,5,2,3,3,5,3,2,5,5,2,1,3,3,4,4,3,2,4,4,4,3,3,4,3,4,5,3.5714285714285716,3.4,2.6,3.5,3.0,6.86734693877551,5,0,1,13,7,6.0,13.0
21,Man,HBO,Buitenpost,"Anders, namelijk",1,5,3,3,3,4,2,4,2,2,4,2,2,4,2,2,4,2,4,4,3,4,4,4,2,2,2,4,2,2,5,3.5714285714285716,2.4,3.0,3.0,2.5714285714285716,5.791836734693878,2,0,1,6,11,3.0,6.0
19,Vrouw,HBO,Stedelijk,Stedelijk,4,4,4,4,2,2,2,4,5,3,4,4,4,4,2,2,2,4,4,4,4,2,2,2,4,5,3,4,4,4,5,3.142857142857143,4.0,3.6,3.3333333333333335,3.142857142857143,5.88843537414966,3,0,0,3,18,3.0,3.0
